Iteración,xi,f(xi),Error
1,-1,-3,1.0005
2,-1.59996793749914,-1.44010259897475,0.599967937499139
3,-1.95120413538505,-0.192802422056273,0.351236197885913
4,-1.99938994664515,-0.00243984125428875,0.0481858112601021
5,-1.9999999070663,-3.71734783843891e-07,0.000609960421148026
6,-2.00000000000002,8.5265128291212e-14,9.29337193866786e-08
