Method,Iteration,Error,RE,Result,x1,x2,x3
Jacobi,20,0.0067746801487456,0.631246580810363,Fracasa,0.167290878336663,0.0632653013170073,-0.0639665181543949
Gauss-Seidel,10,0.000147268255337522,0.243975018237133,Triunfa,0.167092392555779,0.0630996899560462,-0.0641107561793992
SOR-w1,16,0.000404350997907019,0.633015033804869,Triunfa,0.167878739628908,0.0625839990284455,-0.0642748164780193
SOR-w2,20,0.00262158163421519,0.677927842366835,Fracasa,0.167422762371382,0.0621495872555721,-0.0647725232463997
SOR-w3,20,215.311600975459,1.21156018282387,Fracasa,141.723469003183,21.4588327257819,-105.050073092738
